ID,degre
METRROTT0000002275851004,2
METRROTT0000002291957530,3
METRROTT0000002324178635,2
METRROTT0000002324178636,2
METRROTT0000002322434328,2
METRROTT0000002322442671,2
METRROTT0000002322453821,2
METRROTT0000002324178634,2
METRROTT0000002324178633,2
METRROTT0000002322436314,2
METRROTT0000002322445611,2
METRROTT0000002269833549,2
METRROTT0000002322441861,2
METRROTT0000002322431737,2
METRROTT0000002322446073,2
METRROTT0000002269768157,2
METRROTT0000002269758882,2
METRROTT0000002269821464,2
METRROTT0000002269783046,2
METRROTT0000002269749766,3
METRROTT0000002269758911,2
METRROTT0000002269759322,2
METRROTT0000002269783318,2
METRROTT0000002269755682,2
METRROTT0000002269758585,2
METRROTT0000002269768087,2
METRROTT0000002269757184,5
METRROTT0000002269768102,2
METRROTT0000002269780905,3
METRROTT0000002269767613,2
METRROTT0000002285433118,2
METRROTT0000002269767726,3
METRROTT0000002269765118,3
METRROTT0000002269753261,2
METRROTT0000002269753700,2
METRROTT0000002269749121,3
METRROTT0000002269814505,2
METRROTT0000002269767922,2
METRROTT0000002269759061,3
METRROTT0000002269757161,3
METRROTT0000002269821465,2
METRROTT0000002269751338,2
METRROTT0000002269755367,2
METRROTT0000002269764762,2
METRROTT0000002269769835,3
METRROTT0000002269758601,2
METRROTT0000002269759193,2
METRROTT0000002269750949,2
METRROTT0000002269758861,2
METRROTT0000002269755169,2
METRROTT0000002269768328,2
METRROTT0000002269758813,2
METRROTT0000002269757389,2
METRROTT0000002269758552,2
METRROTT0000002269757827,2
METRROTT0000002269759371,3
METRROTT0000002269753981,2
METRROTT0000002269757134,2
METRROTT0000002269767037,2
METRROTT0000002269751552,2
METRROTT0000002269758553,2
METRROTT0000002269753393,2
METRROTT0000002269753465,3
METRROTT0000002269766817,2
METRROTT0000002269758635,2
METRROTT0000002269758570,2
METRROTT0000002269753402,2
METRROTT0000002269759490,2
METRROTT0000002269751679,2
METRROTT0000002269752067,3
METRROTT0000002269759259,2
METRROTT0000002269758181,2
METRROTT0000002269753217,2
METRROTT0000002269757660,2
METRROTT0000002269768970,2
METRROTT0000002269768049,2
METRROTT0000002269767463,2
METRROTT0000002269753248,6
METRROTT0000002269754210,2
METRROTT0000002269749208,2
METRROTT0000002269762359,2
METRROTT0000002269761568,2
METRROTT0000002275850958,2
METRROTT0000002269765425,2
METRROTT0000002269761934,8
METRROTT0000002269768621,4
METRROTT0000002269751756,3
METRROTT0000002269778104,4
METRROTT0000002269752380,2
