ID,degre
METRROTT0000002269783046,2
METRROTT0000002269783318,2
METRROTT0000002269780905,3
METRROTT0000002285433118,2
METRROTT0000002269767726,3
METRROTT0000002269765118,3
METRROTT0000002269764762,2
METRROTT0000002269762359,2
METRROTT0000002269761568,2
METRROTT0000002269765425,2
METRROTT0000002269761934,8
METRROTT0000002269778104,4
METRROTT0000002269814483,2
METRROTT0000002269778145,2
METRROTT0000002269767118,2
METRROTT0000002269761719,4
METRROTT0000002269762808,2
METRROTT0000002269762329,2
METRROTT0000002269763799,2
METRROTT0000002269763791,2
METRROTT0000002269764106,2
METRROTT0000002269766956,2
METRROTT0000002269781912,2
METRROTT0000002269772134,2
METRROTT0000002269771954,2
METRROTT0000002269773561,2
METRROTT0000002269773642,2
METRROTT0000002269776181,3
METRROTT0000002269775976,2
METRROTT0000002269782741,2
METRROTT0000002269778141,2
METRROTT0000002269778448,3
METRROTT0000002269778475,2
METRROTT0000002269782382,2
METRROTT0000002269778757,2
METRROTT0000002269779440,4
METRROTT0000002269780983,2
METRROTT0000002269780992,2
METRROTT0000002269781566,2
METRROTT0000002269783871,2
METRROTT0000002269783765,2
METRROTT0000002269762919,2
METRROTT0000002269763794,2
METRROTT0000002269764875,3
METRROTT0000002269765713,2
METRROTT0000002269766150,2
METRROTT0000002269767701,2
METRROTT0000002269770546,2
METRROTT0000002269771189,2
METRROTT0000002269775937,2
METRROTT0000002269776723,3
METRROTT0000002269781329,2
METRROTT0000002269781543,2
METRROTT0000002269781829,2
METRROTT0000002269782341,2
METRROTT0000002269783580,2
METRROTT0000002269777691,2
METRROTT0000002269764720,2
METRROTT0000002269764791,2
METRROTT0000002269764065,2
METRROTT0000002269764328,2
METRROTT0000002269765637,2
METRROTT0000002269764145,2
METRROTT0000002269761534,2
METRROTT0000002269761754,2
METRROTT0000002269762097,2
METRROTT0000002269775722,2
METRROTT0000002269762182,2
METRROTT0000002269762241,2
METRROTT0000002269762262,3
METRROTT0000002269762524,2
METRROTT0000002269762608,2
METRROTT0000002269762733,2
METRROTT0000002269764066,2
METRROTT0000002269763005,2
METRROTT0000002269763952,2
METRROTT0000002269763639,2
METRROTT0000002269765020,2
METRROTT0000002269763182,2
METRROTT0000002269763239,2
METRROTT0000002269763242,2
METRROTT0000002269763433,2
METRROTT0000002269763512,2
METRROTT0000002269763499,2
METRROTT0000002269763530,2
METRROTT0000002269763520,2
METRROTT0000002269763732,2
METRROTT0000002269763539,2
METRROTT0000002269763585,2
METRROTT0000002269763608,2
METRROTT0000002269763657,2
METRROTT0000002269763680,2
METRROTT0000002269763702,2
METRROTT0000002269763733,2
METRROTT0000002269767065,2
METRROTT0000002269763762,2
METRROTT0000002269763763,2
METRROTT0000002269763764,2
METRROTT0000002269763795,2
METRROTT0000002269763809,2
METRROTT0000002269763895,2
METRROTT0000002269763896,2
METRROTT0000002269763903,2
METRROTT0000002269763909,2
METRROTT0000002269763910,2
METRROTT0000002269763935,2
METRROTT0000002269763977,2
METRROTT0000002269764023,2
METRROTT0000002269764046,2
METRROTT0000002269764063,2
METRROTT0000002269764062,2
METRROTT0000002269764074,2
METRROTT0000002269764079,3
METRROTT0000002269764118,2
METRROTT0000002269764119,2
METRROTT0000002269764154,2
METRROTT0000002269764161,2
METRROTT0000002269764167,2
METRROTT0000002269764203,2
METRROTT0000002269764228,2
METRROTT0000002269764229,2
METRROTT0000002269764249,2
METRROTT0000002269764296,2
METRROTT0000002269764313,2
METRROTT0000002269764314,2
METRROTT0000002269764325,2
METRROTT0000002269764372,2
METRROTT0000002269764398,3
METRROTT0000002269764401,2
METRROTT0000002269764378,2
METRROTT0000002269764402,2
METRROTT0000002269764411,2
METRROTT0000002269764421,2
METRROTT0000002269764425,2
METRROTT0000002269764436,2
METRROTT0000002269764437,2
METRROTT0000002269764443,2
METRROTT0000002269764620,2
METRROTT0000002269764466,2
METRROTT0000002269764484,2
METRROTT0000002269764485,2
METRROTT0000002269764521,2
METRROTT0000002269764522,3
METRROTT0000002269764621,3
METRROTT0000002269764523,2
METRROTT0000002269764525,2
METRROTT0000002269764538,2
METRROTT0000002269764575,2
METRROTT0000002269764569,2
METRROTT0000002269764604,2
METRROTT0000002269764602,2
METRROTT0000002269764955,2
METRROTT0000002269764663,2
METRROTT0000002269764673,2
METRROTT0000002269764675,3
METRROTT0000002269764683,2
METRROTT0000002269764692,2
METRROTT0000002269764716,2
METRROTT0000002269764717,2
METRROTT0000002269764728,2
METRROTT0000002269764729,2
METRROTT0000002269764751,2
METRROTT0000002269764756,2
METRROTT0000002269764760,2
METRROTT0000002269764735,2
METRROTT0000002269764786,2
METRROTT0000002269764978,3
METRROTT0000002269764849,4
METRROTT0000002269764864,2
METRROTT0000002269764886,2
METRROTT0000002269764899,2
METRROTT0000002269764906,2
METRROTT0000002269764907,2
METRROTT0000002269764926,2
METRROTT0000002269764927,2
METRROTT0000002269764928,3
METRROTT0000002269764982,2
METRROTT0000002269765003,2
METRROTT0000002269765004,2
METRROTT0000002269765019,2
METRROTT0000002269765079,2
METRROTT0000002269765054,2
METRROTT0000002269765088,3
METRROTT0000002269765246,3
METRROTT0000002269765290,2
METRROTT0000002269765322,2
METRROTT0000002269765448,2
METRROTT0000002269765473,2
METRROTT0000002269765477,2
METRROTT0000002269765531,3
METRROTT0000002269765581,2
METRROTT0000002269765604,2
METRROTT0000002269765700,2
METRROTT0000002269765662,2
METRROTT0000002269765690,2
